,Binding Energy (kJ/mol/OSDA),Host,Guest SMILES,Guests/Cell,ID,Constant,Metric,Theory,Parent ID,Method
1693,-124.23405562624579,LAU,c1ccncc1,1,137444119,P,frz,FF,83512877,"FF (frz, P)"
1695,-124.21175401033724,RTH,CC(C)NC(C)C,2,137345866,V,frz,FF,83496956,"FF (frz, V)"
1701,-124.07314706498153,BEC,CN(C)CCN(C)C,1,137327920,V,opt,FF,83525944,"FF (opt, V)"
1706,-123.95110857806596,VET,NC1CCCC1,1,137444266,V,frz,FF,83596202,"FF (frz, V)"
1713,-123.80875028363286,CHA,CCN(C(C)C)C(C)C,2,148085371,V,opt,DFT,87638165,"DFT (opt, V)"
1723,-123.63946583209565,SAS,NCCN,1,137245972,P,opt,FF,83595803,"FF (opt, P)"
1738,-123.329350448675,SFE,CN(C)c1ccncc1,1,137319235,V,frz,FF,83596186,"FF (frz, V)"
1745,-123.25805918206963,ATS,CCN(C(C)C)C(C)C,1,137348842,V,MD,FF,83609025,"FF (MD, V)"
1746,-123.23792096336345,AFN,NCCCN,1,137440450,V,frz,FF,83528902,"FF (frz, V)"
1747,-123.2093941148755,EAB,NCCN,3,137448257,P,opt,FF,87645690,"FF (opt, P)"
1748,-123.20694628241218,RTE,C1C[C@H]2CC[C@@H]1CNC2,2,147626539,P,opt,DFT,83596150,"DFT (opt, P)"
1758,-122.99118195966783,RTH,C1CCCNCC1,2,137336156,V,frz,FF,83597302,"FF (frz, V)"
1767,-122.87151001633656,RUT,C1CCNC1,4,137352105,V,frz,FF,87638181,"FF (frz, V)"
